器件型号,器件名称,器件名称(中文),外形,描述 / 用途说明）,尺寸,长 mm,宽 mm,高 mm,质量 g,核心材料,安装面,CAD路径,导热率W/(m·K),辐射率,热阻K/W,接触热阻K/W,比热容J/(kg·K),最高工作温度,最低工作温度,图片路径,备注,主模式功耗,校准模式功耗,冷却系统功耗,工作电压,datasheet path,器件种类,所属分系统,器件来源,本体尺寸长,本体尺寸宽,本体尺寸高,质心 X 坐标,质心 Y 坐标,质心 Z 坐标,工作相对湿度范围,储存温度范围,储存相对湿度范围,接触面积,安装面粗糙度,Unnamed: 41,STEP长,STEP宽,STEP高,Rotated CAD Path,CAD_rotated_path,器件ID,CAD_MAJOR_PATH,CAD_LOCAL_MOUNT_FACE
AIRBUS-REFINED-187_reaction_wheel_v7,Reaction wheel v7,反作用轮,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=reaction_wheels; role=reaction_wheel; coordinates are in Final Assembly global mm.,150.000×150.000×60.000 mm,150.0,150.0,60.0,27.0,aluminum_steel_motor_assembly_estimate,-Z,refined_coordinate_steps/reaction_wheels/187_reaction_wheel__reaction_wheel_v7_6__inst004.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; reaction_wheels安装面按CAD bbox/用户确认修正为-Z; 原值=+Z,8.0,,,,,反作用轮,姿轨控分系统,Airbus STEP refined coordinate split,150.0,150.0,60.0,1109.560012,1102.949076,35.0,,,,22500.0,,,150.0,150.0,60.0,refined_coordinate_steps/reaction_wheels/187_reaction_wheel__reaction_wheel_v7_6__inst004.step,refined_coordinate_steps/reaction_wheels/187_reaction_wheel__reaction_wheel_v7_6__inst004.step,AIRBUS-REFINED-187,refined_coordinate_steps/reaction_wheels/187_reaction_wheel__reaction_wheel_v7_6__inst004.step,
AIRBUS-REFINED-188_reaction_wheel_v7,Reaction wheel v7,反作用轮,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=reaction_wheels; role=reaction_wheel; coordinates are in Final Assembly global mm.,60.000×150.000×150.000 mm,60.0,150.0,150.0,27.0,aluminum_steel_motor_assembly_estimate,+X,refined_coordinate_steps/reaction_wheels/188_reaction_wheel__reaction_wheel_v7_4__inst005.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; reaction_wheels安装面按CAD bbox/用户确认修正为+X; 原值=+Z,8.0,,,,,反作用轮,姿轨控分系统,Airbus STEP refined coordinate split,60.0,150.0,150.0,1165.0,1052.949076,636.051966,,,,22500.0,,,60.0,150.0,150.0,refined_coordinate_steps/reaction_wheels/188_reaction_wheel__reaction_wheel_v7_4__inst005.step,refined_coordinate_steps/reaction_wheels/188_reaction_wheel__reaction_wheel_v7_4__inst005.step,AIRBUS-REFINED-188,refined_coordinate_steps/reaction_wheels/188_reaction_wheel__reaction_wheel_v7_4__inst005.step,
AIRBUS-REFINED-189_reaction_wheel_v7,Reaction wheel v7,反作用轮,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=reaction_wheels; role=reaction_wheel; coordinates are in Final Assembly global mm.,150.000×60.000×150.000 mm,150.0,60.0,150.0,27.0,aluminum_steel_motor_assembly_estimate,+Y,refined_coordinate_steps/reaction_wheels/189_reaction_wheel__reaction_wheel_v7_5__inst006.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; reaction_wheels安装面按CAD bbox/用户确认修正为+Y; 原值=+Z,8.0,,,,,反作用轮,姿轨控分系统,Airbus STEP refined coordinate split,150.0,60.0,150.0,913.948034,1165.0,711.051966,,,,22500.0,,,150.0,60.0,150.0,refined_coordinate_steps/reaction_wheels/189_reaction_wheel__reaction_wheel_v7_5__inst006.step,refined_coordinate_steps/reaction_wheels/189_reaction_wheel__reaction_wheel_v7_5__inst006.step,AIRBUS-REFINED-189,refined_coordinate_steps/reaction_wheels/189_reaction_wheel__reaction_wheel_v7_5__inst006.step,
AIRBUS-REFINED-004_dawnaerospace_b20_thruster_v2,DawnAerospace_B20_Thruster v2,推进器,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=top_plate; role=thruster; coordinates are in Final Assembly global mm.,79.190×70.123×167.299 mm,79.19009,70.123,167.298846,18.58,Inconel 718 / stainless steel estimate,+Z,refined_coordinate_steps/top_plate/004_thruster__top_plate_v10_1__inst003.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; thruster安装面已按CAD坐标和相邻板/壁bbox确认为+Z; 原值=+Z; CAD_rotated_path/CAD_MAJOR_PATH switched to DB Dawn B1 oriented lightweight STEP for current assembly flow.; v10 B20 real CAD path; CAD_LOCAL_MOUNT_FACE=-Y,12.0,,,,,推进器,推进分系统,Airbus STEP refined coordinate split,79.19009,70.123,167.298846,604.445031,75.0,826.46193,,,,5553.046681,,,79.19009,70.123,167.298846,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,AIRBUS-REFINED-004,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,-Y
AIRBUS-REFINED-005_dawnaerospace_b20_thruster_v2,DawnAerospace_B20_Thruster v2,推进器,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=top_plate; role=thruster; coordinates are in Final Assembly global mm.,79.190×70.123×167.299 mm,79.19009,70.123,167.298846,18.58,Inconel 718 / stainless steel estimate,+Z,refined_coordinate_steps/top_plate/005_thruster__top_plate_v10_1__inst004.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; thruster安装面已按CAD坐标和相邻板/壁bbox确认为+Z; 原值=+Z; CAD_rotated_path/CAD_MAJOR_PATH switched to DB Dawn B1 oriented lightweight STEP for current assembly flow.; v10 B20 real CAD path; CAD_LOCAL_MOUNT_FACE=-Y,12.0,,,,,推进器,推进分系统,Airbus STEP refined coordinate split,79.19009,70.123,167.298846,604.445031,1125.0,826.46193,,,,5553.046681,,,79.19009,70.123,167.298846,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,AIRBUS-REFINED-005,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,-Y
AIRBUS-REFINED-006_dawnaerospace_b20_thruster_v2,DawnAerospace_B20_Thruster v2,推进器,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=walls_body; role=thruster; coordinates are in Final Assembly global mm.,167.299×79.190×70.123 mm,167.298846,79.19009,70.123,18.58,Inconel 718 / stainless steel estimate,-X,refined_coordinate_steps/walls_body/006_thruster__satellite_wall_for_solar_panel_v11_1__inst005.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; thruster安装面已按CAD坐标和相邻板/壁bbox确认为-X; 原值=+Z; CAD_rotated_path/CAD_MAJOR_PATH switched to DB Dawn B1 oriented lightweight STEP for current assembly flow.; v10 B20 real CAD path; CAD_LOCAL_MOUNT_FACE=-Y,12.0,,,,,推进器,推进分系统,Airbus STEP refined coordinate split,167.298846,79.19009,70.123,83.53807,79.445031,155.0,,,,5553.046681,,,167.298846,79.19009,70.123,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,AIRBUS-REFINED-006,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,-Y
AIRBUS-REFINED-007_dawnaerospace_b20_thruster_v2,DawnAerospace_B20_Thruster v2,推进器,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=walls_body; role=thruster; coordinates are in Final Assembly global mm.,167.299×79.190×70.123 mm,167.298846,79.19009,70.123,18.58,Inconel 718 / stainless steel estimate,-X,refined_coordinate_steps/walls_body/007_thruster__satellite_wall_for_solar_panel_v11_1__inst006.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; thruster安装面已按CAD坐标和相邻板/壁bbox确认为-X; 原值=+Z; CAD_rotated_path/CAD_MAJOR_PATH switched to DB Dawn B1 oriented lightweight STEP for current assembly flow.; v10 B20 real CAD path; CAD_LOCAL_MOUNT_FACE=-Y,12.0,,,,,推进器,推进分系统,Airbus STEP refined coordinate split,167.298846,79.19009,70.123,83.53807,79.445031,755.0,,,,5553.046681,,,167.298846,79.19009,70.123,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,AIRBUS-REFINED-007,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,-Y
AIRBUS-REFINED-008_dawnaerospace_b20_thruster_v2,DawnAerospace_B20_Thruster v2,推进器,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=walls_body; role=thruster; coordinates are in Final Assembly global mm.,167.299×79.190×70.123 mm,167.298846,79.19009,70.123,18.58,Inconel 718 / stainless steel estimate,-X,refined_coordinate_steps/walls_body/008_thruster__satellite_wall_for_solar_panel_v11_1__inst007.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; thruster安装面已按CAD坐标和相邻板/壁bbox确认为-X; 原值=+Z; CAD_rotated_path/CAD_MAJOR_PATH switched to DB Dawn B1 oriented lightweight STEP for current assembly flow.; v10 B20 real CAD path; CAD_LOCAL_MOUNT_FACE=-Y,12.0,,,,,推进器,推进分系统,Airbus STEP refined coordinate split,167.298846,79.19009,70.123,83.53807,1120.554969,155.0,,,,5553.046681,,,167.298846,79.19009,70.123,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,AIRBUS-REFINED-008,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,-Y
AIRBUS-REFINED-009_dawnaerospace_b20_thruster_v2,DawnAerospace_B20_Thruster v2,推进器,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=walls_body; role=thruster; coordinates are in Final Assembly global mm.,167.299×79.190×70.123 mm,167.298846,79.19009,70.123,18.58,Inconel 718 / stainless steel estimate,-X,refined_coordinate_steps/walls_body/009_thruster__satellite_wall_for_solar_panel_v11_1__inst008.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; thruster安装面已按CAD坐标和相邻板/壁bbox确认为-X; 原值=+Z; CAD_rotated_path/CAD_MAJOR_PATH switched to DB Dawn B1 oriented lightweight STEP for current assembly flow.; v10 B20 real CAD path; CAD_LOCAL_MOUNT_FACE=-Y,12.0,,,,,推进器,推进分系统,Airbus STEP refined coordinate split,167.298846,79.19009,70.123,83.53807,1120.554969,755.0,,,,5553.046681,,,167.298846,79.19009,70.123,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,AIRBUS-REFINED-009,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,-Y
AIRBUS-REFINED-010_dawnaerospace_b20_thruster_v2,DawnAerospace_B20_Thruster v2,推进器,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=walls_body; role=thruster; coordinates are in Final Assembly global mm.,70.123×167.299×79.190 mm,70.123,167.298846,79.19009,18.58,Inconel 718 / stainless steel estimate,+Y,refined_coordinate_steps/walls_body/010_thruster__normal_satellite_wall_v14_1__inst009.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; thruster安装面已按CAD坐标和相邻板/壁bbox确认为+Y; 原值=+Z; CAD_rotated_path/CAD_MAJOR_PATH switched to DB Dawn B1 oriented lightweight STEP for current assembly flow.; v10 B20 real CAD path; CAD_LOCAL_MOUNT_FACE=-Y,12.0,,,,,推进器,推进分系统,Airbus STEP refined coordinate split,70.123,167.298846,79.19009,600.0,1116.46193,259.445031,,,,5553.046681,,,70.123,167.298846,79.19009,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,AIRBUS-REFINED-010,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,-Y
AIRBUS-REFINED-011_dawnaerospace_b20_thruster_v2,DawnAerospace_B20_Thruster v2,推进器,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=walls_body; role=thruster; coordinates are in Final Assembly global mm.,70.123×167.299×79.190 mm,70.123,167.298846,79.19009,18.58,Inconel 718 / stainless steel estimate,+Y,refined_coordinate_steps/walls_body/011_thruster__normal_satellite_wall_v14_1__inst010.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; thruster安装面已按CAD坐标和相邻板/壁bbox确认为+Y; 原值=+Z; CAD_rotated_path/CAD_MAJOR_PATH switched to DB Dawn B1 oriented lightweight STEP for current assembly flow.; v10 B20 real CAD path; CAD_LOCAL_MOUNT_FACE=-Y,12.0,,,,,推进器,推进分系统,Airbus STEP refined coordinate split,70.123,167.298846,79.19009,600.0,1116.46193,659.445031,,,,5553.046681,,,70.123,167.298846,79.19009,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,AIRBUS-REFINED-011,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,-Y
AIRBUS-REFINED-012_dawnaerospace_b20_thruster_v2,DawnAerospace_B20_Thruster v2,推进器,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=walls_body; role=thruster; coordinates are in Final Assembly global mm.,70.123×167.299×79.190 mm,70.123,167.298846,79.19009,18.58,Inconel 718 / stainless steel estimate,-Y,refined_coordinate_steps/walls_body/012_thruster__normal_satellite_wall_v14_2__inst011.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; thruster安装面已按CAD坐标和相邻板/壁bbox确认为-Y; 原值=+Z; CAD_rotated_path/CAD_MAJOR_PATH switched to DB Dawn B1 oriented lightweight STEP for current assembly flow.; v10 B20 real CAD path; CAD_LOCAL_MOUNT_FACE=-Y,12.0,,,,,推进器,推进分系统,Airbus STEP refined coordinate split,70.123,167.298846,79.19009,600.0,83.53807,259.445031,,,,5553.046681,,,70.123,167.298846,79.19009,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,AIRBUS-REFINED-012,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,-Y
AIRBUS-REFINED-013_dawnaerospace_b20_thruster_v2,DawnAerospace_B20_Thruster v2,推进器,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=walls_body; role=thruster; coordinates are in Final Assembly global mm.,70.123×167.299×79.190 mm,70.123,167.298846,79.19009,18.58,Inconel 718 / stainless steel estimate,-Y,refined_coordinate_steps/walls_body/013_thruster__normal_satellite_wall_v14_2__inst012.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; thruster安装面已按CAD坐标和相邻板/壁bbox确认为-Y; 原值=+Z; CAD_rotated_path/CAD_MAJOR_PATH switched to DB Dawn B1 oriented lightweight STEP for current assembly flow.; v10 B20 real CAD path; CAD_LOCAL_MOUNT_FACE=-Y,12.0,,,,,推进器,推进分系统,Airbus STEP refined coordinate split,70.123,167.298846,79.19009,600.0,83.53807,659.445031,,,,5553.046681,,,70.123,167.298846,79.19009,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,AIRBUS-REFINED-013,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,-Y
AIRBUS-REFINED-014_dawnaerospace_b20_thruster_v2,DawnAerospace_B20_Thruster v2,推进器,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=walls_body; role=thruster; coordinates are in Final Assembly global mm.,167.299×79.190×70.123 mm,167.298846,79.19009,70.123,18.58,Inconel 718 / stainless steel estimate,+X,refined_coordinate_steps/walls_body/014_thruster__satellite_wall_for_solar_panel_v11_2__inst013.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; thruster安装面已按CAD坐标和相邻板/壁bbox确认为+X; 原值=+Z; CAD_rotated_path/CAD_MAJOR_PATH switched to DB Dawn B1 oriented lightweight STEP for current assembly flow.; v10 B20 real CAD path; CAD_LOCAL_MOUNT_FACE=-Y,12.0,,,,,推进器,推进分系统,Airbus STEP refined coordinate split,167.298846,79.19009,70.123,1116.46193,1120.554969,155.0,,,,5553.046681,,,167.298846,79.19009,70.123,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,AIRBUS-REFINED-014,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,-Y
AIRBUS-REFINED-015_dawnaerospace_b20_thruster_v2,DawnAerospace_B20_Thruster v2,推进器,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=walls_body; role=thruster; coordinates are in Final Assembly global mm.,167.299×79.190×70.123 mm,167.298846,79.19009,70.123,18.58,Inconel 718 / stainless steel estimate,+X,refined_coordinate_steps/walls_body/015_thruster__satellite_wall_for_solar_panel_v11_2__inst014.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; thruster安装面已按CAD坐标和相邻板/壁bbox确认为+X; 原值=+Z; CAD_rotated_path/CAD_MAJOR_PATH switched to DB Dawn B1 oriented lightweight STEP for current assembly flow.; v10 B20 real CAD path; CAD_LOCAL_MOUNT_FACE=-Y,12.0,,,,,推进器,推进分系统,Airbus STEP refined coordinate split,167.298846,79.19009,70.123,1116.46193,1120.554969,755.0,,,,5553.046681,,,167.298846,79.19009,70.123,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,AIRBUS-REFINED-015,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,-Y
AIRBUS-REFINED-016_dawnaerospace_b20_thruster_v2,DawnAerospace_B20_Thruster v2,推进器,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=walls_body; role=thruster; coordinates are in Final Assembly global mm.,167.299×79.190×70.123 mm,167.298846,79.19009,70.123,18.58,Inconel 718 / stainless steel estimate,+X,refined_coordinate_steps/walls_body/016_thruster__satellite_wall_for_solar_panel_v11_2__inst015.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; thruster安装面已按CAD坐标和相邻板/壁bbox确认为+X; 原值=+Z; CAD_rotated_path/CAD_MAJOR_PATH switched to DB Dawn B1 oriented lightweight STEP for current assembly flow.; v10 B20 real CAD path; CAD_LOCAL_MOUNT_FACE=-Y,12.0,,,,,推进器,推进分系统,Airbus STEP refined coordinate split,167.298846,79.19009,70.123,1116.46193,79.445031,155.0,,,,5553.046681,,,167.298846,79.19009,70.123,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,AIRBUS-REFINED-016,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,-Y
AIRBUS-REFINED-017_dawnaerospace_b20_thruster_v2,DawnAerospace_B20_Thruster v2,推进器,bbox_from_step,Airbus refined coordinate-preserved STEP part; group=walls_body; role=thruster; coordinates are in Final Assembly global mm.,167.299×79.190×70.123 mm,167.298846,79.19009,70.123,18.58,Inconel 718 / stainless steel estimate,+X,refined_coordinate_steps/walls_body/017_thruster__satellite_wall_for_solar_panel_v11_2__inst016.step,,,,,,,,,Generated from refined_coordinate_index.csv; installation face fixed to +Z by user request.; thruster安装面已按CAD坐标和相邻板/壁bbox确认为+X; 原值=+Z; CAD_rotated_path/CAD_MAJOR_PATH switched to DB Dawn B1 oriented lightweight STEP for current assembly flow.; v10 B20 real CAD path; CAD_LOCAL_MOUNT_FACE=-Y,12.0,,,,,推进器,推进分系统,Airbus STEP refined coordinate split,167.298846,79.19009,70.123,1116.46193,79.445031,755.0,,,,5553.046681,,,167.298846,79.19009,70.123,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,AIRBUS-REFINED-017,/data/wqn/cad2comsol2paraview/data/module_db/cad/Motor Final Assembly v001DawnAerospace_B20_Thruster v022.step,-Y
